DATAFLOW,MEASURE,INDEX,SECTOR,INDUSTRY,TSEST,REGION,FREQ,TIME_PERIOD,OBS_VALUE,UNIT_MEASURE,BASE_PERIOD,OBS_STATUS,OBS_COMMENT
ABS:WPI(1.2.0),3,THRPIB,7,TOT,10,AUS,Q,2022-Q3,3.8,,,,
ABS:WPI(1.2.0),3,THRPIB,7,TOT,10,AUS,Q,2022-Q4,3.5,,,,
ABS:WPI(1.2.0),3,THRPIB,7,TOT,10,AUS,Q,2023-Q1,3.9,,,,
ABS:WPI(1.2.0),3,THRPIB,7,TOT,10,AUS,Q,2023-Q2,3.7,,,,
ABS:WPI(1.2.0),3,THRPIB,7,TOT,10,AUS,Q,2023-Q3,4.1,,,,
ABS:WPI(1.2.0),3,THRPIB,7,TOT,10,AUS,Q,2023-Q4,4.1,,,,
ABS:WPI(1.2.0),3,THRPIB,7,TOT,10,AUS,Q,2024-Q1,4.2,,,,
ABS:WPI(1.2.0),3,THRPIB,7,TOT,10,AUS,Q,2024-Q2,3.9,,,,
ABS:WPI(1.2.0),3,THRPIB,7,TOT,10,AUS,Q,2024-Q3,3.6,,,,
ABS:WPI(1.2.0),3,THRPIB,7,TOT,10,AUS,Q,2024-Q4,3.4,,,,
ABS:WPI(1.2.0),3,THRPIB,7,TOT,10,AUS,Q,2025-Q1,3.6,,,,
ABS:WPI(1.2.0),3,THRPIB,7,TOT,10,AUS,Q,2025-Q2,3.7,,,,
ABS:WPI(1.2.0),3,THRPIB,7,TOT,10,AUS,Q,2025-Q3,3.7,,,,
ABS:WPI(1.2.0),3,THRPIB,7,TOT,10,AUS,Q,2025-Q4,3.5,,,,
ABS:WPI(1.2.0),3,THRPIB,7,TOT,10,AUS,Q,2026-Q1,3,,,,
ABS:WPI(1.2.0),3,THRPIB,7,TOT,10,AUS,Q,2026-Q2,3,,,,
ABS:WPI(1.2.0),3,THRPEB,1,B,10,AUS,Q,1997-Q3,,,,,
ABS:WPI(1.2.0),3,THRPEB,1,B,10,AUS,Q,1997-Q4,,,,,
ABS:WPI(1.2.0),3,THRPEB,1,B,10,AUS,Q,1998-Q1,,,,,
ABS:WPI(1.2.0),3,THRPEB,1,B,10,AUS,Q,1998-Q2,,,,,
ABS:WPI(1.2.0),3,THRPEB,1,B,10,AUS,Q,1998-Q3,2.5,,,,
ABS:WPI(1.2.0),3,THRPEB,1,B,10,AUS,Q,1998-Q4,2.3,,,,
ABS:WPI(1.2.0),3,THRPEB,1,B,10,AUS,Q,1999-Q1,2.5,,,,
ABS:WPI(1.2.0),3,THRPEB,1,B,10,AUS,Q,1999-Q2,3.1,,,,
ABS:WPI(1.2.0),3,THRPEB,1,B,10,AUS,Q,1999-Q3,3,,,,
ABS:WPI(1.2.0),3,THRPEB,1,B,10,AUS,Q,1999-Q4,2.9,,,,
ABS:WPI(1.2.0),3,THRPEB,1,B,10,AUS,Q,2000-Q1,2.3,,,,
ABS:WPI(1.2.0),3,THRPEB,1,B,10,AUS,Q,2000-Q2,1.8,,,,
ABS:WPI(1.2.0),3,THRPEB,1,B,10,AUS,Q,2000-Q3,2.2,,,,
ABS:WPI(1.2.0),3,THRPEB,1,B,10,AUS,Q,2000-Q4,2.4,,,,
ABS:WPI(1.2.0),3,THRPEB,1,B,10,AUS,Q,2001-Q1,3.5,,,,
ABS:WPI(1.2.0),3,THRPEB,1,B,10,AUS,Q,2001-Q2,3.7,,,,
ABS:WPI(1.2.0),3,THRPEB,1,B,10,AUS,Q,2001-Q3,3.3,,,,
ABS:WPI(1.2.0),3,THRPEB,1,B,10,AUS,Q,2001-Q4,3.7,,,,
ABS:WPI(1.2.0),3,THRPEB,1,B,10,AUS,Q,2002-Q1,3.7,,,,
ABS:WPI(1.2.0),3,THRPEB,1,B,10,AUS,Q,2002-Q2,3.5,,,,
ABS:WPI(1.2.0),3,THRPEB,1,B,10,AUS,Q,2002-Q3,4.2,,,,
ABS:WPI(1.2.0),3,THRPEB,1,B,10,AUS,Q,2002-Q4,4,,,,
ABS:WPI(1.2.0),3,THRPEB,1,B,10,AUS,Q,2003-Q1,3.2,,,,
ABS:WPI(1.2.0),3,THRPEB,1,B,10,AUS,Q,2003-Q2,3,,,,
ABS:WPI(1.2.0),3,THRPEB,1,B,10,AUS,Q,2003-Q3,2.7,,,,
ABS:WPI(1.2.0),3,THRPEB,1,B,10,AUS,Q,2003-Q4,2.8,,,,
ABS:WPI(1.2.0),3,THRPEB,1,B,10,AUS,Q,2004-Q1,2.8,,,,
ABS:WPI(1.2.0),3,THRPEB,1,B,10,AUS,Q,2004-Q2,3.2,,,,
