DATAFLOW,MEASURE,REGION,FREQ,TIME_PERIOD,OBS_VALUE,UNIT_MEASURE,UNIT_MULT,OBS_STATUS,OBS_COMMENT
ABS:RES_DWELL(1.0.0),3,6GHOB,Q,2008-Q2,305,,,,
ABS:RES_DWELL(1.0.0),3,6GHOB,Q,2008-Q3,292.5,,,,
ABS:RES_DWELL(1.0.0),3,6GHOB,Q,2008-Q4,300,,,,
ABS:RES_DWELL(1.0.0),3,6GHOB,Q,2009-Q1,296.5,,,,
ABS:RES_DWELL(1.0.0),3,6GHOB,Q,2009-Q2,310,,,,
ABS:RES_DWELL(1.0.0),3,6GHOB,Q,2009-Q3,310.1,,,,
ABS:RES_DWELL(1.0.0),3,6GHOB,Q,2009-Q4,350,,,,
ABS:RES_DWELL(1.0.0),3,6GHOB,Q,2010-Q1,350.5,,,,
ABS:RES_DWELL(1.0.0),3,6GHOB,Q,2010-Q2,343.8,,,,
ABS:RES_DWELL(1.0.0),3,6GHOB,Q,2010-Q3,340,,,,
ABS:RES_DWELL(1.0.0),3,6GHOB,Q,2010-Q4,345,,,,
ABS:RES_DWELL(1.0.0),3,6GHOB,Q,2011-Q1,338,,,,
ABS:RES_DWELL(1.0.0),3,6GHOB,Q,2011-Q2,330,,,,
ABS:RES_DWELL(1.0.0),3,6GHOB,Q,2011-Q3,335,,,,
ABS:RES_DWELL(1.0.0),3,6GHOB,Q,2011-Q4,337.5,,,,
ABS:RES_DWELL(1.0.0),3,6GHOB,Q,2012-Q1,343,,,,
ABS:RES_DWELL(1.0.0),3,6GHOB,Q,2012-Q2,327.5,,,,
ABS:RES_DWELL(1.0.0),3,6GHOB,Q,2012-Q3,315,,,,
ABS:RES_DWELL(1.0.0),3,6GHOB,Q,2012-Q4,331.3,,,,
ABS:RES_DWELL(1.0.0),3,6GHOB,Q,2013-Q1,340,,,,
ABS:RES_DWELL(1.0.0),3,6GHOB,Q,2013-Q2,330,,,,
ABS:RES_DWELL(1.0.0),3,6GHOB,Q,2013-Q3,325,,,,
ABS:RES_DWELL(1.0.0),3,6GHOB,Q,2013-Q4,350,,,,
ABS:RES_DWELL(1.0.0),3,6GHOB,Q,2014-Q1,360,,,,
ABS:RES_DWELL(1.0.0),3,6GHOB,Q,2014-Q2,340,,,,
ABS:RES_DWELL(1.0.0),3,6GHOB,Q,2014-Q3,345,,,,
ABS:RES_DWELL(1.0.0),3,6GHOB,Q,2014-Q4,356.5,,,,
ABS:RES_DWELL(1.0.0),3,6GHOB,Q,2015-Q1,360,,,,
ABS:RES_DWELL(1.0.0),3,6GHOB,Q,2015-Q2,350,,,,
ABS:RES_DWELL(1.0.0),3,6GHOB,Q,2015-Q3,340,,,,
ABS:RES_DWELL(1.0.0),3,6GHOB,Q,2015-Q4,370,,,,
ABS:RES_DWELL(1.0.0),3,6GHOB,Q,2016-Q1,360,,,,
ABS:RES_DWELL(1.0.0),3,6GHOB,Q,2016-Q2,365,,,,
ABS:RES_DWELL(1.0.0),3,6GHOB,Q,2016-Q3,370,,,,
ABS:RES_DWELL(1.0.0),3,6GHOB,Q,2016-Q4,392,,,,
ABS:RES_DWELL(1.0.0),3,6GHOB,Q,2017-Q1,389.5,,,,
ABS:RES_DWELL(1.0.0),3,6GHOB,Q,2017-Q2,400,,,,
ABS:RES_DWELL(1.0.0),3,6GHOB,Q,2017-Q3,395,,,,
ABS:RES_DWELL(1.0.0),3,6GHOB,Q,2017-Q4,421,,,,
ABS:RES_DWELL(1.0.0),3,6GHOB,Q,2018-Q1,449,,,,
ABS:RES_DWELL(1.0.0),3,6GHOB,Q,2018-Q2,457.8,,,,
ABS:RES_DWELL(1.0.0),3,6GHOB,Q,2018-Q3,440.3,,,,
ABS:RES_DWELL(1.0.0),3,6GHOB,Q,2018-Q4,465,,,,
